code,location,registered,envelopes,valid,OBČANÉ.CZ,Věci veřejné,Konzervativní strana,Komunistická str.Čech a Moravy,Koruna Česká (monarch.strana),Česká strana národně sociální,Česká str.sociálně demokrat.,Strana Práv Občanů ZEMANOVCI,STOP,TOP 09,EVROPSKÝ STŘED,Křesť.demokr.unie-Čs.str.lid.,Volte Pr.Blok www.cibulka.net,Strana zelených,Suverenita-blok J.Bobošíkové,Humanistická strana,Česká pirátská strana,Dělnic.str.sociální spravedl.,Strana svobodných občanů,Občanská demokratická strana,Klíčové hnutí
500054,Praha 1,24 178,16 869,16 752,37,1710,11,643,39,6,1954,370,5,5263,5,580,67,1265,198,18,120,72,157,4184,48
500224,Praha 10,85 918,58 220,57 898,93,5334,30,3990,51,25,9598,1720,18,15425,20,1275,192,2773,1235,46,406,422,553,14563,129
547034,Praha 11,62 144,43 085,42 791,90,5015,19,3403,69,33,7282,1588,26,10347,10,823,163,1711,1248,41,365,342,401,9723,92
547107,Praha 12,43 739,30 065,29 884,52,3452,16,2504,34,11,4725,1091,13,7604,7,568,121,1136,858,34,235,216,340,6816,51
539694,Praha 13,41 969,28 343,28 198,75,3269,10,1647,59,11,3766,1083,4,7690,10,590,100,1234,736,35,285,179,357,7023,35
547361,Praha 14,31 802,19 762,19 632,45,2431,17,1292,34,12,3059,712,7,4932,9,345,67,714,618,14,140,204,200,4757,23
547387,Praha 15,23 283,16 108,16 012,38,1858,6,1051,21,7,2369,550,3,4266,5,262,74,631,457,15,121,129,180,3941,28
539601,Praha 16,6 043,4 418,4 385,12,439,2,290,2,2,603,155,1,1231,0,68,19,152,100,7,43,39,46,1168,6
547174,Praha 17,19 003,12 560,12 483,18,1385,1,914,16,9,1967,527,3,3198,2,280,44,490,314,18,94,95,146,2943,19
547417,Praha 18,12 393,8 186,8 126,12,1001,4,611,8,2,1534,304,2,1870,5,130,23,286,239,4,74,65,106,1836,10
547344,Praha 19,4 540,3 449,3 434,3,326,2,301,4,5,538,125,2,863,1,46,8,133,62,1,23,21,27,938,5
500089,Praha 2,36 548,24 245,24 114,54,2185,21,1052,41,11,3507,561,5,7190,6,631,101,1648,426,18,191,176,233,6018,39
