code,location,registered,envelopes,valid,Česká str.sociálně demokrat.,Strana svobodných občanů,Česká pirátská strana,TOP 09,HLAVU VZHŮRU - volební blok,Občanská demokratická strana,politické hnutí Změna,Strana soukromníků ČR,Křesť.demokr.unie-Čs.str.lid.,Volte Pr.Blok www.cibulka.net,Suver.-Strana zdravého rozumu,Aktiv nezávislých občanů,Strana Práv Občanů ZEMANOVCI,OBČANÉ 2011,Úsvit přímé demokr.T.Okamury,Dělnic.str.sociální spravedl.,ANO 2011,Komunistická str.Čech a Moravy,LEV 21-Národní socialisté,Strana zelených,Koruna Česká (monarch.strana)
500054,Praha 1,22 611,14 305,14 211,1410,526,553,4260,68,2011,104,15,1067,25,11,6,107,9,327,34,1671,692,5,1268,42
500224,Praha 10,82 317,52 254,51 832,7955,1841,1690,11747,269,6318,363,63,2671,114,60,12,541,35,1653,221,8364,4466,31,3326,92
547034,Praha 11,60 107,39 500,39 187,6401,1338,1499,7371,161,3951,310,40,1916,94,72,7,381,37,1399,175,7720,4174,26,2038,77
547107,Praha 12,42 642,27 483,27 244,4282,984,986,5572,116,2673,233,28,1405,59,63,11,257,27,1037,132,4944,2963,21,1399,52
539694,Praha 13,42 292,27 047,26 834,3599,1194,1206,5930,102,2908,220,44,1466,44,37,7,238,25,994,108,4654,2232,14,1743,69
547361,Praha 14,31 865,18 733,18 604,2825,689,701,3893,79,1897,142,24,917,38,22,7,196,16,801,124,3507,1718,15,950,43
547387,Praha 15,23 209,14 949,14 839,2177,583,527,3113,62,1642,109,18,660,33,25,12,132,18,504,79,3026,1273,8,814,24
539601,Praha 16,6 080,4 227,4 176,541,126,183,799,18,933,30,8,175,7,8,1,29,4,140,15,653,315,2,182,7
547174,Praha 17,18 781,11 620,11 548,1891,496,455,2172,55,1114,84,12,576,19,14,5,127,6,380,63,2116,1294,10,641,18
547417,Praha 18,12 003,7 640,7 584,1274,292,277,1454,25,745,59,6,320,22,18,4,83,8,327,51,1479,745,10,369,16
547344,Praha 19,4 712,3 359,3 336,505,100,139,695,14,465,22,7,155,6,9,1,27,2,117,12,543,316,2,190,9
500089,Praha 2,34 030,20 653,20 451,2431,854,839,5295,86,2843,152,29,1290,56,23,2,145,15,524,71,2799,1188,7,1738,64
538213,Praha 20,11 227,7 491,7 432,1074,260,238,1435,42,797,59,11,398,19,14,8,80,10,292,33,1361,941,7,337,16
538949,Praha 21,7 499,5 213,5 174,664,178,172,1250,25,761,32,34,255,6,16,2,43,6,171,14,898,422,5,205,15
