code,location,registered,envelopes,valid,Strana zelených,Švýcarská demokracie,VOLNÝ blok,Svoboda a př. demokracie (SPD),Česká str.sociálně demokrat.,Volte Pr.Blok www.cibulka.net,ALIANCE NÁRODNÍCH SIL,Trikolora Svobodní Soukromníci,Aliance pro budoucnost,Hnutí Prameny,Levice,PŘÍSAHA Roberta Šlachty,"SPOLU – ODS, KDU-ČSL, TOP 09",SENIOŘI 21,Urza.cz: Nechceme vaše hlasy,Koruna Česká (monarch.strana),PIRÁTI a STAROSTOVÉ,Komunistická str.Čech a Moravy,ANO 2011,Otevřeme ČR normálnímu životu,Moravané
500054,Praha 1,21 449,14 347,14 171,207,35,114,509,413,6,7,381,22,25,6,293,6701,22,9,39,3598,188,1572,20,4
500224,Praha 10,79 576,54 734,54 213,493,141,386,2560,2237,59,44,1389,77,79,23,1741,21529,53,39,82,12447,1174,9498,134,28
547034,Praha 11,54 791,38 364,37 932,318,117,312,2063,1915,37,32,878,56,25,9,1658,12961,67,23,77,6929,1103,9187,136,29
547107,Praha 12,41 036,29 370,29 107,264,86,210,1511,1411,24,21,729,46,43,4,1277,10689,51,27,46,5405,874,6279,92,18
539694,Praha 13,41 187,28 692,28 374,237,71,231,1422,1218,24,25,858,42,37,17,1147,10991,46,25,59,6245,628,4943,89,19
547361,Praha 14,31 705,20 726,20 585,234,59,205,1209,895,22,25,569,45,29,8,867,7929,22,21,41,3772,476,4088,57,12
547387,Praha 15,23 884,16 875,16 745,159,33,140,886,713,11,21,420,21,33,3,668,6422,23,12,27,3255,346,3490,51,11
539601,Praha 16,6 120,4 582,4 532,54,13,39,204,169,3,3,98,4,10,4,179,1901,8,3,6,983,81,762,6,2
547174,Praha 17,17 217,11 703,11 599,99,35,101,707,567,11,18,315,17,14,6,540,4130,12,13,19,2084,333,2538,37,3
547417,Praha 18,13 290,9 178,9 097,90,25,66,519,449,9,9,258,13,9,1,420,3317,16,8,21,1817,182,1846,16,6
547344,Praha 19,4 844,3 651,3 617,41,6,33,184,162,5,3,112,0,5,3,154,1420,0,1,3,747,90,636,11,1
500089,Praha 2,31 246,21 116,20 876,227,61,161,838,648,16,11,534,26,20,7,485,9112,29,15,38,5819,275,2511,37,6
538213,Praha 20,10 998,7 934,7 855,59,17,67,426,327,9,5,217,13,10,4,339,2950,16,3,8,1392,285,1674,27,7
538949,Praha 21,7 563,5 716,5 666,32,13,39,255,227,5,11,172,12,6,0,233,2438,4,3,5,1031,97,1066,14,3
538931,Praha 22,8 020,5 916,5 874,58,14,49,251,202,7,7,183,14,6,1,229,2594,2,3,12,1215,72,928,24,3
500097,Praha 3,49 831,33 119,32 804,403,75,279,1385,1206,23,30,854,44,44,17,941,13199,47,26,77,8499,633,4930,74,18
